"trait","gene","statistic","controlled_available","controlled_p","controlled_error_bound","controlled_terms","controlled_reason","approximate_available","approximate_p","approximate_method","moment_fallback"
"A","gene0636",29.3513546801621,TRUE,0.997246364387441,9.88924318953352e-11,467,"",TRUE,0.997238476017365,"saddlepoint",FALSE
"A","gene0637",37.5524128702521,TRUE,0.49024549370407,9.57950932120588e-11,393,"",TRUE,0.489068434679893,"saddlepoint",FALSE
"A","gene0638",48.2262873120343,TRUE,0.787953188714994,9.75143882742807e-11,461,"",TRUE,0.787556475872217,"saddlepoint",FALSE
"A","gene0639",47.1195852418032,TRUE,0.251867220112362,9.97740730638262e-11,400,"",TRUE,0.250906829458523,"saddlepoint",FALSE
"A","gene0640",43.8357367491903,TRUE,0.860531553123534,9.66705335030647e-11,483,"",TRUE,0.860221656950692,"saddlepoint",FALSE
"A","gene0641",40.0126448560656,TRUE,0.475760066671833,9.37925958145562e-11,401,"",TRUE,0.474747414969081,"saddlepoint",FALSE
"A","gene0642",48.4680331367963,TRUE,0.736945389175705,9.41632436629071e-11,472,"",TRUE,0.736452644648716,"saddlepoint",FALSE
"A","gene0643",35.2406252918924,TRUE,0.66748257361854,9.33952878684648e-11,398,"",TRUE,0.666624607621862,"saddlepoint",FALSE
"A","gene0644",40.7550765708019,TRUE,0.887296417907798,9.72253064190388e-11,470,"",TRUE,0.887034954027447,"saddlepoint",FALSE
"A","gene0645",38.1716818444875,TRUE,0.599586862660366,9.33890098499951e-11,416,"",TRUE,0.598648828684688,"saddlepoint",FALSE
"A","gene0646",76.2356684934019,TRUE,0.108831025424776,9.3764660803481e-11,464,"",TRUE,0.108440143802648,"saddlepoint",FALSE
"A","gene0647",32.9523003693785,TRUE,0.792665361334554,9.95336210912572e-11,420,"",TRUE,0.792027771338924,"saddlepoint",FALSE
"A","gene0648",63.3078936492031,TRUE,0.279653441706165,9.78801831252873e-11,466,"",TRUE,0.278978618858478,"saddlepoint",FALSE
"A","gene0649",40.2165437865061,TRUE,0.595119455780706,9.36533070604144e-11,421,"",TRUE,0.594215975161193,"saddlepoint",FALSE
"A","gene0650",53.343371805133,TRUE,0.495631350037595,9.46035932426238e-11,470,"",TRUE,0.494899700801307,"saddlepoint",FALSE
