"analysis","scope","component","region","quantity","trait1","trait2","estimate","truth","lower","upper","interval_kind","uncertainty_reason"
"hess_cov","region","region","region012","cov","A","C",-0.00524908277159625,0.000189877177727522,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region013","cov","A","C",-0.00130686539731594,0.000463459633311509,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region014","cov","A","C",0.00505115763165654,0.00190009665973702,-0.00285027512521367,0.0129525903885268,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region015","cov","A","C",0.00349779165125208,0.00244362521953447,-0.00434108818902113,0.0113366714915253,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region016","cov","A","C",0.00270342512844825,0.00042030492504612,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region017","cov","A","C",-0.00187491449434318,0.000171110679268355,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region018","cov","A","C",0.0030675446313731,0.00142791551332039,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region019","cov","A","C",-0.00221422619752684,0.000767158816394137,-0.00978259681392996,0.00535414441887627,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region020","cov","A","C",0.00649884987440876,0.00100902731434102,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region001","cov","B","C",0.0701547272231816,0.0540104686592574,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region002","cov","B","C",0.0520595634082933,0.0540104686592574,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region003","cov","B","C",0.000398276975680353,0.00146259792186695,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region004","cov","B","C",0.00467522978775407,0.000268091231529343,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region005","cov","B","C",0.00488787037746631,0.00214463221625043,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region006","cov","B","C",-0.000152228218576153,8.62489828666318e-05,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
