"replicate","seed","parameter","estimated","status","draws","mean","sd","median","lower","upper","hpd_lower","hpd_upper","diagnostic_status","rhat","ess_bulk","mcse_mean","method","truth"
3,20262300,"h2[A]",TRUE,"available",20000,0.309988353912599,0.0214031619828024,0.309479298558922,0.269085610501718,0.352939647086244,0.26901984043421,0.352782311846779,"available",0.999879377172868,20969.1569049399,0.000147768853001631,"bayesr",0.302591432584273
4,20262400,"residual_variance",FALSE,"available",2800,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesc",NA
4,20262400,"effect_variance",FALSE,"available",2800,3e-04,0,3e-04,3e-04,3e-04,3e-04,3e-04,"not_updated",NA,NA,NA,"bayesc",NA
4,20262400,"active_markers",TRUE,"available",2800,996.958571428571,31.1674315080922,997,937,1058.65833333333,934,1055,"available",1.00026841547765,2491.74861741719,0.623945231724012,"bayesc",923
4,20262400,"weight_0",FALSE,"available",2800,0.98,0,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesc",NA
4,20262400,"weight_1",FALSE,"available",2800,0.02,0,0.02,0.02,0.02,0.02,0.02,"not_updated",NA,NA,NA,"bayesc",NA
4,20262400,"genetic_covariance[A,A]",TRUE,"available",2800,0.315300075710803,0.0159494402923004,0.315329650210619,0.284384811660544,0.34608746987095,0.283356580398177,0.344072542747804,"available",1.00056699951128,2926.77435672091,0.000294917525162152,"bayesc",NA
4,20262400,"h2[A]",TRUE,"available",2800,0.315300075710803,0.0159494402923004,0.315329650210619,0.284384811660544,0.34608746987095,0.283356580398177,0.344072542747804,"available",1.00056699951128,2926.77435672091,0.000294917525162152,"bayesc",0.296475557779458
4,20262400,"residual_variance",FALSE,"available",20000,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesr",NA
4,20262400,"effect_variance",FALSE,"available",20000,0.000810810810810811,2.19704663379328e-19,0.000810810810810811,0.000810810810810811,0.000810810810810811,0.000810810810810811,0.000810810810810811,"not_updated",NA,NA,NA,"bayesr",NA
4,20262400,"active_markers",TRUE,"available",20000,991.60675,31.0811101186526,991,931,1053,929,1050,"available",0.999960266054879,20345.7585633546,0.217905300427086,"bayesr",923
4,20262400,"weight_0",FALSE,"available",20000,0.98,2.58480260007822e-16,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesr",NA
4,20262400,"weight_1",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
4,20262400,"weight_2",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
4,20262400,"weight_3",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
4,20262400,"genetic_covariance[A,A]",TRUE,"available",20000,0.30904548691429,0.0213889464624315,0.308699974051637,0.268316315260404,0.352105129477784,0.267191460938691,0.350654813473155,"available",1.00014735799086,20296.0902693069,0.000150077537330568,"bayesr",NA
4,20262400,"h2[A]",TRUE,"available",20000,0.30904548691429,0.0213889464624315,0.308699974051637,0.268316315260404,0.352105129477784,0.267191460938691,0.350654813473155,"available",1.00014735799086,20296.0902693069,0.000150077537330568,"bayesr",0.296475557779458
5,20262500,"residual_variance",FALSE,"available",2800,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesc",NA
5,20262500,"effect_variance",FALSE,"available",2800,3e-04,0,3e-04,3e-04,3e-04,3e-04,3e-04,"not_updated",NA,NA,NA,"bayesc",NA
5,20262500,"active_markers",TRUE,"available",2800,991.763214285714,31.408031704412,991,930.341666666667,1054,928,1051,"available",0.999597199880438,2666.25473837,0.608233959827724,"bayesc",939
